Date,Open,High,Low,Close,Volume
2021-03-08,881.95,891.567,853.1,862.718,8183049.6743384
2021-03-09,866.837,875.081,853.1,872.332,6233286.1890445
2021-03-10,865.464,866.837,854.474,865.464,5540294.074156
2021-03-11,876.455,932.777,875.081,928.658,16269286.857945
2021-03-12,930.034,957.511,917.668,956.135,10722078.812759
2021-03-15,968.492,1008.34,964.373,1001.46,13317886.319334
2021-03-16,1009.71,1041.31,994.602,1037.19,17444533.521068
2021-03-17,1019.33,1034.44,1002.84,1023.45,11936268.096679
2021-03-18,1042.68,1056.42,1022.07,1037.19,10546286.199391
2021-03-19,1024.82,1082.52,1017.95,1081.15,15984665.096473
2021-03-22,1100.38,1131.97,1093.51,1116.87,18951718.378881
2021-03-23,1126.48,1126.48,1071.53,1071.53,17445993.362459
2021-03-24,1015.21,1037.19,982.235,1016.57,23825226.518666
2021-03-25,1016.57,1077.02,1016.57,1048.18,16509501.731193
2021-03-26,1079.77,1094.88,1049.55,1092.13,15764468.974144
2021-03-29,1097.63,1099,1024.82,1027.56,19794665.266231
2021-03-30,1017.87,1074.65,1012.33,1073.27,14303586.770804
2021-03-31,1053.88,1073.27,1045.57,1045.57,10630294.664594
2021-04-01,1064.96,1069.11,1026.18,1030.33,11385242.177754
2021-04-02,1028.95,1037.26,997.096,1027.56,10211482.39012
2021-04-05,1046.95,1087.12,1030.33,1085.73,10606467.484861
2021-04-06,1070.5,1088.5,1052.49,1062.19,10918772.164553
2021-04-07,1069.11,1103.73,1056.65,1096.81,18352000.666911
2021-04-08,1094.04,1116.2,1088.5,1113.43,11888546.151965
2021-04-09,1113.43,1156.36,1110.66,1150.82,15483848.259446
2021-04-12,1163.29,1174.37,1076.04,1081.58,23099763.070626
2021-04-13,1091.27,1107.89,1067.73,1076.04,11773732.330012
2021-04-14,1077.42,1088.5,1040.03,1045.57,11033947.567591
2021-04-15,1062.19,1105.12,1059.42,1091.27,14129558.13245
2021-04-16,1074.65,1085.73,1046.95,1066.34,12114922.945366
2021-04-19,1071.88,1096.81,1071.88,1078.81,8522145.1469558
2021-04-20,1059.42,1098.2,1055.26,1092.66,8036899.9514274
2021-04-21,1062.19,1089.89,1060.8,1081.58,8648870.8691433
2021-04-22,1106.5,1125.89,1099.58,1123.12,13646479.04417
2021-04-23,1127.28,1142.51,1110.66,1121.74,11231438.42533
2021-04-26,1120.35,1134.2,1094.04,1132.82,9106318.2515277
2021-04-27,1131.43,1170.21,1127.28,1156.36,14126672.242294
2021-04-28,1143.9,1154.98,1110.66,1125.89,10812626.150857
2021-04-30,1153.59,1193.75,1145.28,1188.21,18581266.72973
2021-05-06,1188.21,1238.07,1188.21,1231.14,16872431.142068
2021-05-07,1220.07,1265.76,1210.37,1262.99,15503343.224681
2021-05-10,1264.38,1285.15,1200.68,1222.83,29174737.571101
2021-05-11,1203.45,1268.53,1202.06,1238.07,15240500.80988
2021-05-12,1244.99,1268.53,1166.06,1186.83,16385019.839291
2021-05-13,1167.44,1199.29,1156.36,1170.21,14105372.750895
2021-05-14,1193.75,1221.44,1182.68,1195.14,12663711.79253
2021-05-17,1214.53,1224.22,1175.75,1184.06,11041527.253329
2021-05-18,1197.91,1228.38,1166.06,1222.83,9402017.2354026
2021-05-19,1207.59,1244.99,1193.75,1226.98,8370507.5017805
2021-05-20,1213.13,1220.07,1190.98,1210.37,8891133.5754536
2021-05-21,1213.13,1224.22,1192.37,1206.22,8021010.6592558
2021-05-24,1218.68,1276.84,1218.68,1274.07,15652094.9797
2021-05-25,1278.23,1289.3,1239.46,1240.83,12563340.938409
2021-05-26,1231.14,1257.46,1222.83,1233.92,8317791.0071237
2021-05-27,1242.22,1250.53,1202.06,1215.91,15844168.879687
2021-05-28,1235.29,1250.53,1224.22,1246.37,7351991.0323864
2021-05-31,1246.37,1250.53,1222.83,1250.53,6723411.0395911
2021-06-01,1244.99,1281,1238.07,1278.23,9161917.2570782
2021-06-02,1282.38,1326.7,1261.61,1326.7,12030076.423068
2021-06-03,1332.24,1350.24,1296.23,1318.39,11788533.499666
2021-06-04,1328.08,1347.47,1318.39,1341.93,7538651.3538836
2021-06-07,1357.17,1379.32,1357.17,1373.78,9717572.7655982
2021-06-08,1377.94,1409.79,1364.09,1409.79,8214895.8439311
2021-06-09,1404.25,1407.02,1359.94,1365.48,13332369.838315
2021-06-10,1354.4,1423.64,1346.09,1415.33,11766869.047919
2021-06-11,1418.1,1454.11,1407.02,1448.57,10514761.059733
2021-06-14,1481.8,1503.96,1456.87,1481.8,10841508.707256
2021-06-15,1467.96,1506.73,1454.11,1501.19,9378186.6764077
2021-06-16,1492.88,1559.36,1481.8,1545.51,13744687.170306
2021-06-17,1567.66,1581.51,1512.27,1548.28,12998762.287962
2021-06-18,1509.5,1517.81,1404.25,1429.18,28522685.221134
2021-06-21,1373.78,1445.79,1365.48,1423.64,14739731.282527
2021-06-22,1556.59,1570.43,1509.5,1570.43,24023680.466211
2021-06-23,1595.36,1606.44,1515.04,1553.82,17007463.091426
2021-06-24,1537.2,1573.2,1526.12,1559.36,9244962.6324751
2021-06-25,1559.36,1564.89,1523.35,1542.74,8329709.6658836
2021-06-28,1551.05,1578.74,1542.74,1564.89,7368241.9056431
2021-06-29,1539.97,1564.89,1526.12,1562.12,8815313.0632347
2021-06-30,1556.59,1564.89,1517.81,1559.36,7946274.8902924
2021-07-01,1551.05,1556.59,1481.8,1501.19,13355115.654054
2021-07-02,1528.89,1531.66,1448.57,1526.12,21790971.333634
2021-07-05,1501.19,1556.59,1490.11,1542.74,12233342.440382
2021-07-06,1537.2,1573.2,1531.66,1531.66,11423154.123494
2021-07-07,1512.27,1537.2,1506.73,1515.04,8415637.5521742
2021-07-08,1515.04,1545.51,1492.88,1492.88,10478295.438333
2021-07-09,1467.96,1484.57,1409.79,1479.03,18753484.083397
2021-07-12,1503.96,1506.73,1448.57,1459.64,12334436.456674
2021-07-13,1479.03,1501.19,1465.18,1490.11,9893402.5508535
2021-07-14,1479.03,1501.19,1431.94,1434.72,11574071.985762
2021-07-15,1429.18,1454.11,1420.87,1429.18,9861627.3457729
2021-07-16,1418.1,1484.57,1409.79,1479.03,10955960.948123
2021-07-19,1456.87,1492.88,1451.33,1470.72,9109930.6831167
2021-07-20,1462.42,1484.57,1451.33,1462.42,9880040.9470155
2021-07-21,1487.34,1520.58,1473.49,1481.8,12692955.930015
2021-07-26,1531.66,1545.51,1515.04,1528.89,10148661.900654
2021-07-27,1523.35,1528.89,1506.73,1520.58,8472679.5028028
2021-07-28,1517.81,1528.89,1498.42,1503.96,6788036.0552204
2021-07-29,1501.19,1523.35,1456.87,1523.35,10746189.850539
2021-07-30,1523.35,1639.68,1512.27,1628.6,31794490.531596
2021-08-02,1708.92,1775.39,1675.68,1767.08,30282426.018765
2021-08-03,1744.93,1825.25,1728.31,1819.71,24895611.287835
2021-08-04,1822.48,2060.68,1789.24,1919.42,74987946.425869
2021-08-05,1985.89,2182.54,1911.11,2163.15,87195292.200008
2021-08-06,2196.39,2257.33,2091.15,2152.07,76748768.587493
2021-08-10,2141,2201.93,2099.46,2110.53,35359825.339422
2021-08-11,2102.22,2188.08,2085.61,2177,32648727.534885
2021-08-12,2213.01,2293.33,2179.77,2232.4,43438604.490739
2021-08-13,2243.48,2265.64,2201.93,2226.86,21663522.449277
2021-08-16,2262.87,2301.64,2224.09,2301.64,30499053.639917
2021-08-17,2309.95,2373.65,2296.1,2318.26,39973282.335212
2021-08-18,2309.95,2334.87,2210.24,2290.56,47320941.153102
2021-08-19,2254.56,2312.72,2196.39,2204.7,33666517.462846
2021-08-20,2165.92,2190.85,1985.89,2019.13,66833346.762333
2021-08-23,2019.13,2132.69,1991.43,2110.53,55339424.124024
2021-08-24,2177,2221.32,2141,2165.92,41106605.868034
2021-08-25,2185.31,2196.39,2124.37,2174.23,26442333.51664
2021-08-26,2157.61,2177,2121.61,2152.07,17152605.794119
2021-08-27,2201.93,2309.95,2190.85,2309.95,41230807.28115
2021-08-30,2409.66,2415.2,2332.11,2373.65,39564935.636633
2021-08-31,2332.11,2462.29,2321.02,2456.75,37226073.731835
2021-09-01,2459.52,2487.21,2384.73,2412.43,43972953.749336
2021-09-02,2381.96,2448.44,2370.89,2434.59,24300242.686673
2021-09-03,2453.98,2484.44,2429.05,2476.13,29386309.815586
2021-09-06,2531.53,2728.18,2509.37,2722.64,50737885.786994
2021-09-07,2764.19,2764.19,2656.17,2719.87,47746255.128583
